"Count","tick","InsectId"
500,1.0,""
493,2.0,""
485,3.0,""
470,4.0,""
463,5.0,""
452,6.0,""
445,7.0,""
431,8.0,""
414,9.0,""
402,10.0,""
386,11.0,""
380,12.0,""
372,13.0,""
363,14.0,""
345,15.0,""
334,16.0,""
324,17.0,""
311,18.0,""
303,19.0,""
288,20.0,""
277,21.0,""
268,22.0,""
260,23.0,""
246,24.0,""
236,25.0,""
222,26.0,""
212,27.0,""
204,28.0,""
196,29.0,""
191,30.0,""
183,31.0,""
177,32.0,""
168,33.0,""
158,34.0,""
154,35.0,""
149,36.0,""
143,37.0,""
135,38.0,""
128,39.0,""
123,40.0,""
121,41.0,""
116,42.0,""
111,43.0,""
107,44.0,""
104,45.0,""
96,46.0,""
93,47.0,""
90,48.0,""
79,49.0,""
76,50.0,""
71,51.0,""
65,52.0,""
64,53.0,""
60,54.0,""
55,55.0,""
50,56.0,""
47,57.0,""
46,58.0,""
44,59.0,""
37,60.0,""
36,61.0,""
33,62.0,""
30,63.0,""
30,64.0,""
26,65.0,""
25,66.0,""
20,67.0,""
19,68.0,""
18,69.0,""
15,70.0,""
13,71.0,""
13,72.0,""
13,73.0,""
10,74.0,""
9,75.0,""
7,76.0,""
7,77.0,""
7,78.0,""
7,79.0,""
7,80.0,""
7,81.0,""
7,82.0,""
