"Count","tick","InsectId"
500,1.0,""
493,2.0,""
488,3.0,""
481,4.0,""
476,5.0,""
464,6.0,""
457,7.0,""
446,8.0,""
437,9.0,""
429,10.0,""
423,11.0,""
410,12.0,""
399,13.0,""
389,14.0,""
381,15.0,""
368,16.0,""
355,17.0,""
346,18.0,""
334,19.0,""
323,20.0,""
308,21.0,""
298,22.0,""
287,23.0,""
280,24.0,""
269,25.0,""
262,26.0,""
256,27.0,""
242,28.0,""
227,29.0,""
216,30.0,""
209,31.0,""
201,32.0,""
198,33.0,""
190,34.0,""
181,35.0,""
172,36.0,""
160,37.0,""
156,38.0,""
148,39.0,""
141,40.0,""
133,41.0,""
123,42.0,""
114,43.0,""
108,44.0,""
100,45.0,""
95,46.0,""
92,47.0,""
86,48.0,""
81,49.0,""
71,50.0,""
69,51.0,""
64,52.0,""
56,53.0,""
54,54.0,""
52,55.0,""
50,56.0,""
49,57.0,""
48,58.0,""
43,59.0,""
39,60.0,""
34,61.0,""
32,62.0,""
27,63.0,""
24,64.0,""
23,65.0,""
20,66.0,""
18,67.0,""
16,68.0,""
14,69.0,""
13,70.0,""
10,71.0,""
9,72.0,""
9,73.0,""
9,74.0,""
8,75.0,""
