"Count","tick","InsectId"
500,1.0,""
500,2.0,""
495,3.0,""
493,4.0,""
486,5.0,""
484,6.0,""
482,7.0,""
480,8.0,""
477,9.0,""
471,10.0,""
459,11.0,""
450,12.0,""
443,13.0,""
440,14.0,""
433,15.0,""
427,16.0,""
414,17.0,""
407,18.0,""
395,19.0,""
389,20.0,""
379,21.0,""
376,22.0,""
363,23.0,""
356,24.0,""
345,25.0,""
337,26.0,""
330,27.0,""
320,28.0,""
310,29.0,""
302,30.0,""
291,31.0,""
282,32.0,""
273,33.0,""
261,34.0,""
250,35.0,""
237,36.0,""
228,37.0,""
219,38.0,""
208,39.0,""
198,40.0,""
189,41.0,""
186,42.0,""
183,43.0,""
173,44.0,""
168,45.0,""
164,46.0,""
159,47.0,""
153,48.0,""
146,49.0,""
143,50.0,""
136,51.0,""
124,52.0,""
120,53.0,""
115,54.0,""
105,55.0,""
101,56.0,""
100,57.0,""
96,58.0,""
88,59.0,""
84,60.0,""
81,61.0,""
74,62.0,""
73,63.0,""
69,64.0,""
66,65.0,""
61,66.0,""
59,67.0,""
55,68.0,""
53,69.0,""
50,70.0,""
47,71.0,""
41,72.0,""
38,73.0,""
35,74.0,""
30,75.0,""
30,76.0,""
26,77.0,""
24,78.0,""
22,79.0,""
20,80.0,""
20,81.0,""
19,82.0,""
18,83.0,""
16,84.0,""
12,85.0,""
11,86.0,""
10,87.0,""
9,88.0,""
7,89.0,""
6,90.0,""
6,91.0,""
6,92.0,""
6,93.0,""
6,94.0,""
5,95.0,""
5,96.0,""
4,97.0,""
4,98.0,""
3,99.0,""
3,100.0,""
2,101.0,""
2,102.0,""
2,103.0,""
2,104.0,""
2,105.0,""
0,106.0,""
