"Count","tick","InsectId"
500,1.0,"slug"
500,1.0,"one"
500,2.0,"slug"
498,2.0,"one"
497,3.0,"slug"
493,3.0,"one"
497,4.0,"slug"
489,4.0,"one"
494,5.0,"slug"
482,5.0,"one"
493,6.0,"slug"
477,6.0,"one"
490,7.0,"slug"
475,7.0,"one"
485,8.0,"slug"
462,8.0,"one"
480,9.0,"slug"
458,9.0,"one"
472,10.0,"slug"
457,10.0,"one"
466,11.0,"slug"
452,11.0,"one"
462,12.0,"slug"
447,12.0,"one"
457,13.0,"slug"
438,13.0,"one"
451,14.0,"slug"
432,14.0,"one"
442,15.0,"slug"
426,15.0,"one"
440,16.0,"slug"
420,16.0,"one"
429,17.0,"slug"
411,17.0,"one"
425,18.0,"slug"
406,18.0,"one"
421,19.0,"slug"
397,19.0,"one"
414,20.0,"slug"
389,20.0,"one"
404,21.0,"slug"
381,21.0,"one"
396,22.0,"slug"
377,22.0,"one"
390,23.0,"slug"
368,23.0,"one"
382,24.0,"slug"
359,24.0,"one"
376,25.0,"slug"
351,25.0,"one"
367,26.0,"slug"
339,26.0,"one"
356,27.0,"slug"
327,27.0,"one"
349,28.0,"slug"
310,28.0,"one"
336,29.0,"slug"
302,29.0,"one"
326,30.0,"slug"
293,30.0,"one"
315,31.0,"slug"
284,31.0,"one"
305,32.0,"slug"
272,32.0,"one"
300,33.0,"slug"
256,33.0,"one"
291,34.0,"slug"
248,34.0,"one"
284,35.0,"slug"
239,35.0,"one"
279,36.0,"slug"
231,36.0,"one"
273,37.0,"slug"
221,37.0,"one"
262,38.0,"slug"
209,38.0,"one"
255,39.0,"slug"
196,39.0,"one"
244,40.0,"slug"
189,40.0,"one"
237,41.0,"slug"
178,41.0,"one"
226,42.0,"slug"
172,42.0,"one"
214,43.0,"slug"
159,43.0,"one"
203,44.0,"slug"
153,44.0,"one"
192,45.0,"slug"
144,45.0,"one"
184,46.0,"slug"
137,46.0,"one"
171,47.0,"slug"
131,47.0,"one"
164,48.0,"slug"
124,48.0,"one"
158,49.0,"slug"
119,49.0,"one"
152,50.0,"slug"
115,50.0,"one"
