"tick","crop to crop","crop to trap","trap to crop","trap to trap"
1.0,174.0,0.0,0.0,0.0
2.0,358.0,0.0,0.0,0.0
3.0,510.0,0.0,0.0,0.0
4.0,658.0,0.0,0.0,0.0
5.0,827.0,0.0,0.0,0.0
6.0,993.0,0.0,0.0,0.0
7.0,1162.0,0.0,0.0,0.0
8.0,1294.0,0.0,0.0,0.0
9.0,1429.0,0.0,0.0,0.0
10.0,1569.0,0.0,0.0,0.0
11.0,1695.0,0.0,0.0,0.0
12.0,1796.0,0.0,0.0,0.0
13.0,1917.0,0.0,0.0,0.0
14.0,2041.0,0.0,0.0,0.0
15.0,2146.0,0.0,0.0,0.0
16.0,2235.0,0.0,0.0,0.0
17.0,2323.0,0.0,0.0,0.0
18.0,2424.0,0.0,0.0,0.0
19.0,2521.0,0.0,0.0,0.0
20.0,2618.0,0.0,0.0,0.0
21.0,2716.0,0.0,0.0,0.0
22.0,2803.0,0.0,0.0,0.0
23.0,2887.0,0.0,0.0,0.0
24.0,2986.0,0.0,0.0,0.0
25.0,3081.0,0.0,0.0,0.0
26.0,3156.0,0.0,0.0,0.0
27.0,3226.0,0.0,0.0,0.0
28.0,3310.0,0.0,0.0,0.0
29.0,3382.0,0.0,0.0,0.0
30.0,3459.0,0.0,0.0,0.0
31.0,3509.0,0.0,0.0,0.0
32.0,3569.0,0.0,0.0,0.0
33.0,3622.0,0.0,0.0,0.0
34.0,3673.0,0.0,0.0,0.0
35.0,3715.0,0.0,0.0,0.0
36.0,3761.0,0.0,0.0,0.0
37.0,3800.0,0.0,0.0,0.0
38.0,3834.0,0.0,0.0,0.0
39.0,3868.0,0.0,0.0,0.0
40.0,3904.0,0.0,0.0,0.0
41.0,3942.0,0.0,0.0,0.0
42.0,3970.0,0.0,0.0,0.0
43.0,3996.0,0.0,0.0,0.0
44.0,4018.0,0.0,0.0,0.0
45.0,4037.0,0.0,0.0,0.0
46.0,4066.0,0.0,0.0,0.0
47.0,4083.0,0.0,0.0,0.0
48.0,4106.0,0.0,0.0,0.0
49.0,4125.0,0.0,0.0,0.0
50.0,4144.0,0.0,0.0,0.0
51.0,4157.0,0.0,0.0,0.0
52.0,4170.0,0.0,0.0,0.0
53.0,4186.0,0.0,0.0,0.0
54.0,4199.0,0.0,0.0,0.0
55.0,4210.0,0.0,0.0,0.0
56.0,4216.0,0.0,0.0,0.0
57.0,4222.0,0.0,0.0,0.0
58.0,4229.0,0.0,0.0,0.0
59.0,4240.0,0.0,0.0,0.0
60.0,4248.0,0.0,0.0,0.0
61.0,4255.0,0.0,0.0,0.0
62.0,4261.0,0.0,0.0,0.0
63.0,4270.0,0.0,0.0,0.0
64.0,4274.0,0.0,0.0,0.0
65.0,4276.0,0.0,0.0,0.0
66.0,4280.0,0.0,0.0,0.0
67.0,4282.0,0.0,0.0,0.0
68.0,4287.0,0.0,0.0,0.0
69.0,4291.0,0.0,0.0,0.0
70.0,4292.0,0.0,0.0,0.0
71.0,4293.0,0.0,0.0,0.0
72.0,4293.0,0.0,0.0,0.0
73.0,4294.0,0.0,0.0,0.0
74.0,4295.0,0.0,0.0,0.0
75.0,4296.0,0.0,0.0,0.0
76.0,4298.0,0.0,0.0,0.0
77.0,4298.0,0.0,0.0,0.0
78.0,4298.0,0.0,0.0,0.0
79.0,4301.0,0.0,0.0,0.0
80.0,4301.0,0.0,0.0,0.0
81.0,4301.0,0.0,0.0,0.0
82.0,4301.0,0.0,0.0,0.0
83.0,4301.0,0.0,0.0,0.0
84.0,4302.0,0.0,0.0,0.0
85.0,4303.0,0.0,0.0,0.0
86.0,4303.0,0.0,0.0,0.0
87.0,4304.0,0.0,0.0,0.0
88.0,4304.0,0.0,0.0,0.0
89.0,4304.0,0.0,0.0,0.0
90.0,4305.0,0.0,0.0,0.0
