"tick","crop to crop","crop to trap","trap to crop","trap to trap"
1.0,500.0,0.0,0.0,0.0
2.0,968.0,0.0,0.0,0.0
3.0,1403.0,0.0,0.0,0.0
4.0,1817.0,0.0,0.0,0.0
5.0,2213.0,0.0,0.0,0.0
6.0,2586.0,0.0,0.0,0.0
7.0,2932.0,0.0,0.0,0.0
8.0,3259.0,0.0,0.0,0.0
9.0,3566.0,0.0,0.0,0.0
10.0,3852.0,0.0,0.0,0.0
11.0,4121.0,0.0,0.0,0.0
12.0,4378.0,0.0,0.0,0.0
13.0,4622.0,0.0,0.0,0.0
14.0,4848.0,0.0,0.0,0.0
15.0,5056.0,0.0,0.0,0.0
16.0,5251.0,0.0,0.0,0.0
17.0,5430.0,0.0,0.0,0.0
18.0,5594.0,0.0,0.0,0.0
19.0,5746.0,0.0,0.0,0.0
20.0,5886.0,0.0,0.0,0.0
21.0,6017.0,0.0,0.0,0.0
22.0,6136.0,0.0,0.0,0.0
23.0,6245.0,0.0,0.0,0.0
24.0,6347.0,0.0,0.0,0.0
25.0,6442.0,0.0,0.0,0.0
26.0,6520.0,0.0,0.0,0.0
27.0,6593.0,0.0,0.0,0.0
28.0,6661.0,0.0,0.0,0.0
29.0,6722.0,0.0,0.0,0.0
30.0,6777.0,0.0,0.0,0.0
31.0,6827.0,0.0,0.0,0.0
32.0,6875.0,0.0,0.0,0.0
33.0,6919.0,0.0,0.0,0.0
34.0,6957.0,0.0,0.0,0.0
35.0,6991.0,0.0,0.0,0.0
36.0,7025.0,0.0,0.0,0.0
37.0,7056.0,0.0,0.0,0.0
38.0,7086.0,0.0,0.0,0.0
39.0,7114.0,0.0,0.0,0.0
40.0,7140.0,0.0,0.0,0.0
41.0,7163.0,0.0,0.0,0.0
42.0,7184.0,0.0,0.0,0.0
43.0,7201.0,0.0,0.0,0.0
44.0,7217.0,0.0,0.0,0.0
45.0,7231.0,0.0,0.0,0.0
46.0,7243.0,0.0,0.0,0.0
47.0,7255.0,0.0,0.0,0.0
48.0,7267.0,0.0,0.0,0.0
49.0,7278.0,0.0,0.0,0.0
50.0,7286.0,0.0,0.0,0.0
51.0,7294.0,0.0,0.0,0.0
52.0,7300.0,0.0,0.0,0.0
53.0,7306.0,0.0,0.0,0.0
54.0,7311.0,0.0,0.0,0.0
55.0,7316.0,0.0,0.0,0.0
56.0,7320.0,0.0,0.0,0.0
57.0,7323.0,0.0,0.0,0.0
58.0,7325.0,0.0,0.0,0.0
59.0,7327.0,0.0,0.0,0.0
60.0,7329.0,0.0,0.0,0.0
61.0,7331.0,0.0,0.0,0.0
62.0,7333.0,0.0,0.0,0.0
63.0,7335.0,0.0,0.0,0.0
64.0,7337.0,0.0,0.0,0.0
65.0,7339.0,0.0,0.0,0.0
66.0,7341.0,0.0,0.0,0.0
67.0,7341.0,0.0,0.0,0.0
