"PlantId","TotalDamge","MaxDamage","tick"
"",0,750000,1.0
"",1,250000,1.0
"",0,750000,2.0
"",2,250000,2.0
"",0,750000,3.0
"",3,250000,3.0
"",0,750000,4.0
"",4,250000,4.0
"",0,750000,5.0
"",5,250000,5.0
"",0,750000,6.0
"",6,250000,6.0
"",0,750000,7.0
"",7,250000,7.0
"",0,750000,8.0
"",8,250000,8.0
"",0,750000,9.0
"",9,250000,9.0
"",0,750000,10.0
"",10,250000,10.0
"",0,750000,11.0
"",11,250000,11.0
"",1,750000,12.0
"",11,250000,12.0
"",2,750000,13.0
"",11,250000,13.0
"",3,750000,14.0
"",11,250000,14.0
"",3,750000,15.0
"",12,250000,15.0
"",3,750000,16.0
"",13,250000,16.0
"",3,750000,17.0
"",14,250000,17.0
"",3,750000,18.0
"",15,250000,18.0
"",3,750000,19.0
"",16,250000,19.0
"",3,750000,20.0
"",17,250000,20.0
"",3,750000,21.0
"",18,250000,21.0
"",3,750000,22.0
"",19,250000,22.0
"",3,750000,23.0
"",20,250000,23.0
"",3,750000,24.0
"",21,250000,24.0
"",3,750000,25.0
"",22,250000,25.0
"",3,750000,26.0
"",23,250000,26.0
"",3,750000,27.0
"",24,250000,27.0
"",3,750000,28.0
"",25,250000,28.0
"",3,750000,29.0
"",26,250000,29.0
"",3,750000,30.0
"",27,250000,30.0
"",3,750000,31.0
"",28,250000,31.0
"",3,750000,32.0
"",29,250000,32.0
"",3,750000,33.0
"",30,250000,33.0
"",3,750000,34.0
"",31,250000,34.0
"",3,750000,35.0
"",32,250000,35.0
"",3,750000,36.0
"",33,250000,36.0
"",3,750000,37.0
"",34,250000,37.0
"",3,750000,38.0
"",35,250000,38.0
"",3,750000,39.0
"",35,250000,39.0
