"PlantId","TotalDamge","MaxDamage","tick"
"",258,500000,1.0
"",242,500000,1.0
"",503,500000,2.0
"",490,500000,2.0
"",737,500000,3.0
"",744,500000,3.0
"",982,500000,4.0
"",980,500000,4.0
"",1213,500000,5.0
"",1225,500000,5.0
"",1436,500000,6.0
"",1466,500000,6.0
"",1662,500000,7.0
"",1697,500000,7.0
"",1893,500000,8.0
"",1912,500000,8.0
"",2120,500000,9.0
"",2122,500000,9.0
"",2324,500000,10.0
"",2347,500000,10.0
"",2544,500000,11.0
"",2550,500000,11.0
"",2753,500000,12.0
"",2751,500000,12.0
"",2934,500000,13.0
"",2969,500000,13.0
"",3130,500000,14.0
"",3162,500000,14.0
"",3341,500000,15.0
"",3332,500000,15.0
"",3516,500000,16.0
"",3525,500000,16.0
"",3680,500000,17.0
"",3716,500000,17.0
"",3864,500000,18.0
"",3878,500000,18.0
"",4038,500000,19.0
"",4038,500000,19.0
"",4199,500000,20.0
"",4200,500000,20.0
"",4348,500000,21.0
"",4359,500000,21.0
"",4497,500000,22.0
"",4508,500000,22.0
"",4636,500000,23.0
"",4656,500000,23.0
"",4774,500000,24.0
"",4798,500000,24.0
"",4901,500000,25.0
"",4940,500000,25.0
"",5028,500000,26.0
"",5075,500000,26.0
"",5150,500000,27.0
"",5209,500000,27.0
"",5265,500000,28.0
"",5336,500000,28.0
"",5371,500000,29.0
"",5457,500000,29.0
"",5480,500000,30.0
"",5564,500000,30.0
"",5597,500000,31.0
"",5656,500000,31.0
"",5706,500000,32.0
"",5748,500000,32.0
"",5803,500000,33.0
"",5849,500000,33.0
"",5895,500000,34.0
"",5947,500000,34.0
"",5989,500000,35.0
"",6034,500000,35.0
"",6077,500000,36.0
"",6118,500000,36.0
"",6155,500000,37.0
"",6200,500000,37.0
"",6236,500000,38.0
"",6275,500000,38.0
"",6309,500000,39.0
"",6350,500000,39.0
"",6374,500000,40.0
"",6426,500000,40.0
"",6436,500000,41.0
"",6497,500000,41.0
"",6497,500000,42.0
"",6559,500000,42.0
"",6555,500000,43.0
"",6615,500000,43.0
"",6604,500000,44.0
"",6674,500000,44.0
"",6655,500000,45.0
"",6723,500000,45.0
"",6700,500000,46.0
"",6773,500000,46.0
"",6746,500000,47.0
"",6819,500000,47.0
"",6794,500000,48.0
"",6857,500000,48.0
"",6833,500000,49.0
"",6899,500000,49.0
"",6872,500000,50.0
"",6931,500000,50.0
"",6902,500000,51.0
"",6970,500000,51.0
"",6926,500000,52.0
"",7010,500000,52.0
"",6948,500000,53.0
"",7044,500000,53.0
"",6969,500000,54.0
"",7077,500000,54.0
"",6993,500000,55.0
"",7105,500000,55.0
"",7014,500000,56.0
"",7134,500000,56.0
"",7035,500000,57.0
"",7162,500000,57.0
"",7058,500000,58.0
"",7187,500000,58.0
"",7080,500000,59.0
"",7208,500000,59.0
"",7098,500000,60.0
"",7229,500000,60.0
"",7119,500000,61.0
"",7242,500000,61.0
"",7141,500000,62.0
"",7252,500000,62.0
"",7157,500000,63.0
"",7263,500000,63.0
"",7171,500000,64.0
"",7273,500000,64.0
"",7182,500000,65.0
"",7285,500000,65.0
"",7193,500000,66.0
"",7294,500000,66.0
"",7201,500000,67.0
"",7304,500000,67.0
"",7209,500000,68.0
"",7312,500000,68.0
"",7216,500000,69.0
"",7319,500000,69.0
"",7223,500000,70.0
"",7325,500000,70.0
"",7231,500000,71.0
"",7327,500000,71.0
"",7235,500000,72.0
"",7332,500000,72.0
"",7242,500000,73.0
"",7334,500000,73.0
"",7245,500000,74.0
"",7340,500000,74.0
"",7246,500000,75.0
"",7347,500000,75.0
