"PlantId","TotalDamge","MaxDamage","tick"
"",242,50000,1.0
"",258,500000,1.0
"",488,50000,2.0
"",511,500000,2.0
"",728,50000,3.0
"",766,500000,3.0
"",967,50000,4.0
"",1020,500000,4.0
"",1197,50000,5.0
"",1280,500000,5.0
"",1431,50000,6.0
"",1535,500000,6.0
"",1662,50000,7.0
"",1789,500000,7.0
"",1895,50000,8.0
"",2035,500000,8.0
"",2127,50000,9.0
"",2277,500000,9.0
"",2356,50000,10.0
"",2521,500000,10.0
"",2586,50000,11.0
"",2762,500000,11.0
"",2811,50000,12.0
"",3005,500000,12.0
"",2848,50000,13.0
"",3287,500000,13.0
"",2866,50000,14.0
"",3572,500000,14.0
"",2879,50000,15.0
"",3848,500000,15.0
"",2884,50000,16.0
"",4126,500000,16.0
"",2893,50000,17.0
"",4395,500000,17.0
"",2901,50000,18.0
"",4661,500000,18.0
"",2908,50000,19.0
"",4919,500000,19.0
"",2914,50000,20.0
"",5173,500000,20.0
"",2923,50000,21.0
"",5415,500000,21.0
"",2931,50000,22.0
"",5650,500000,22.0
"",2939,50000,23.0
"",5871,500000,23.0
"",2941,50000,24.0
"",6092,500000,24.0
"",2948,50000,25.0
"",6305,500000,25.0
"",2952,50000,26.0
"",6515,500000,26.0
"",2958,50000,27.0
"",6716,500000,27.0
"",2960,50000,28.0
"",6917,500000,28.0
"",2965,50000,29.0
"",7109,500000,29.0
"",2970,50000,30.0
"",7299,500000,30.0
"",2971,50000,31.0
"",7485,500000,31.0
"",2973,50000,32.0
"",7663,500000,32.0
"",2980,50000,33.0
"",7828,500000,33.0
"",2983,50000,34.0
"",7990,500000,34.0
"",2988,50000,35.0
"",8143,500000,35.0
"",2991,50000,36.0
"",8291,500000,36.0
"",2994,50000,37.0
"",8433,500000,37.0
"",2997,50000,38.0
"",8572,500000,38.0
"",2999,50000,39.0
"",8708,500000,39.0
"",3003,50000,40.0
"",8837,500000,40.0
"",3006,50000,41.0
"",8959,500000,41.0
"",3008,50000,42.0
"",9076,500000,42.0
"",3008,50000,43.0
"",9189,500000,43.0
"",3008,50000,44.0
"",9300,500000,44.0
"",3011,50000,45.0
"",9401,500000,45.0
"",3012,50000,46.0
"",9499,500000,46.0
"",3014,50000,47.0
"",9591,500000,47.0
"",3016,50000,48.0
"",9679,500000,48.0
"",3017,50000,49.0
"",9762,500000,49.0
"",3020,50000,50.0
"",9833,500000,50.0
"",3020,50000,51.0
"",9904,500000,51.0
"",3022,50000,52.0
"",9970,500000,52.0
"",3023,50000,53.0
"",10033,500000,53.0
"",3025,50000,54.0
"",10095,500000,54.0
"",3026,50000,55.0
"",10153,500000,55.0
"",3026,50000,56.0
"",10208,500000,56.0
"",3026,50000,57.0
"",10263,500000,57.0
"",3027,50000,58.0
"",10317,500000,58.0
"",3028,50000,59.0
"",10370,500000,59.0
"",3030,50000,60.0
"",10417,500000,60.0
"",3032,50000,61.0
"",10462,500000,61.0
"",3033,50000,62.0
"",10504,500000,62.0
"",3036,50000,63.0
"",10543,500000,63.0
"",3037,50000,64.0
"",10582,500000,64.0
"",3037,50000,65.0
"",10620,500000,65.0
"",3037,50000,66.0
"",10657,500000,66.0
"",3039,50000,67.0
"",10687,500000,67.0
"",3039,50000,68.0
"",10717,500000,68.0
"",3039,50000,69.0
"",10742,500000,69.0
"",3040,50000,70.0
"",10764,500000,70.0
"",3041,50000,71.0
"",10785,500000,71.0
"",3042,50000,72.0
"",10805,500000,72.0
"",3044,50000,73.0
"",10821,500000,73.0
"",3044,50000,74.0
"",10837,500000,74.0
"",3046,50000,75.0
"",10849,500000,75.0
"",3046,50000,76.0
"",10862,500000,76.0
"",3046,50000,77.0
"",10875,500000,77.0
"",3046,50000,78.0
"",10886,500000,78.0
"",3047,50000,79.0
"",10895,500000,79.0
"",3048,50000,80.0
"",10904,500000,80.0
"",3048,50000,81.0
"",10914,500000,81.0
"",3048,50000,82.0
"",10922,500000,82.0
"",3048,50000,83.0
"",10930,500000,83.0
"",3049,50000,84.0
"",10937,500000,84.0
"",3050,50000,85.0
"",10944,500000,85.0
"",3051,50000,86.0
"",10950,500000,86.0
"",3051,50000,87.0
"",10956,500000,87.0
"",3051,50000,88.0
"",10960,500000,88.0
"",3051,50000,89.0
"",10963,500000,89.0
"",3051,50000,90.0
"",10966,500000,90.0
"",3051,50000,91.0
"",10969,500000,91.0
"",3051,50000,92.0
"",10971,500000,92.0
"",3051,50000,93.0
"",10973,500000,93.0
"",3051,50000,94.0
"",10975,500000,94.0
"",3051,50000,95.0
"",10977,500000,95.0
"",3051,50000,96.0
"",10979,500000,96.0
"",3052,50000,97.0
"",10980,500000,97.0
"",3052,50000,98.0
"",10982,500000,98.0
"",3052,50000,99.0
"",10984,500000,99.0
"",3052,50000,100.0
"",10985,500000,100.0
"",3052,50000,101.0
"",10986,500000,101.0
"",3052,50000,102.0
"",10986,500000,102.0
