"DamageTaken","X","Y","tick"
0,7,21,1.0
0,56,40,1.0
0,70,2,1.0
0,65,83,1.0
0,69,28,1.0
0,32,26,1.0
0,41,35,1.0
1,59,28,1.0
0,45,48,1.0
0,62,81,1.0
0,7,93,1.0
0,20,93,1.0
0,91,15,1.0
0,28,39,1.0
0,73,31,1.0
0,72,16,1.0
0,63,9,1.0
0,88,9,1.0
0,30,41,1.0
0,48,86,1.0
0,43,97,1.0
1,4,22,1.0
0,79,74,1.0
0,29,48,1.0
0,6,34,1.0
0,87,80,1.0
0,46,80,1.0
0,14,67,1.0
0,81,55,1.0
0,39,29,1.0
0,49,90,1.0
0,73,49,1.0
0,47,65,1.0
0,90,82,1.0
0,44,20,1.0
0,44,23,1.0
0,63,36,1.0
0,26,33,1.0
0,40,29,1.0
1,52,4,1.0
0,92,50,1.0
0,92,55,1.0
0,91,18,1.0
1,4,60,1.0
0,79,77,1.0
0,97,62,1.0
0,98,7,1.0
0,88,8,1.0
0,30,22,1.0
1,0,1,1.0
0,2,86,1.0
1,38,47,1.0
0,5,84,1.0
0,88,80,1.0
0,65,17,1.0
0,5,77,1.0
0,0,84,1.0
0,39,38,1.0
0,63,65,1.0
1,74,85,1.0
0,44,31,1.0
0,66,62,1.0
0,40,59,1.0
0,31,25,1.0
0,48,18,1.0
0,60,75,1.0
0,70,7,1.0
0,94,13,1.0
0,56,75,1.0
0,2,40,1.0
0,2,94,1.0
0,54,75,1.0
0,63,80,1.0
0,96,61,1.0
0,55,94,1.0
0,35,78,1.0
0,17,60,1.0
0,27,22,1.0
0,45,89,1.0
0,4,99,1.0
0,44,50,1.0
0,64,45,1.0
0,60,55,1.0
0,39,57,1.0
0,53,43,1.0
0,84,98,1.0
0,27,24,1.0
0,97,63,1.0
0,23,84,1.0
0,68,22,1.0
0,40,38,1.0
0,66,13,1.0
0,7,30,1.0
0,70,54,1.0
0,15,44,1.0
0,71,97,1.0
0,30,77,1.0
0,86,26,1.0
0,55,56,1.0
0,91,50,1.0
0,82,23,1.0
0,35,43,1.0
0,47,96,1.0
0,65,2,1.0
2,46,65,1.0
0,34,54,1.0
0,0,41,1.0
0,54,96,1.0
0,74,34,1.0
0,4,26,1.0
0,57,18,1.0
0,13,1,1.0
0,98,10,1.0
0,57,58,1.0
0,92,43,1.0
0,72,18,1.0
0,45,65,1.0
0,47,37,1.0
0,60,5,1.0
0,94,88,1.0
0,98,59,1.0
0,91,90,1.0
0,24,48,1.0
0,93,66,1.0
0,92,17,1.0
0,45,71,1.0
0,43,4,1.0
0,13,51,1.0
0,99,57,1.0
0,9,67,1.0
0,73,75,1.0
0,87,54,1.0
0,2,99,1.0
0,96,50,1.0
0,27,56,1.0
0,87,9,1.0
0,29,30,1.0
1,56,23,1.0
0,74,16,1.0
0,48,71,1.0
0,30,24,1.0
0,58,86,1.0
0,67,29,1.0
0,21,31,1.0
0,49,80,1.0
0,12,7,1.0
0,36,96,1.0
0,85,57,1.0
0,77,53,1.0
0,88,78,1.0
0,68,84,1.0
0,89,98,1.0
0,9,5,1.0
0,49,48,1.0
0,50,62,1.0
0,62,66,1.0
0,61,48,1.0
0,65,27,1.0
0,56,30,1.0
0,32,4,1.0
